% Auto-generated on Sat Oct 30 08:17:36 GMT+08:00 2004

% Locations
% L: index, location_name, x_position, y_position;
L: 湖南大学, -33.333332, -7.3333335;
L: 师范大学, -33.0, -48.0;
L: 岳麓山公园, 37.0, -7.3333335;
L: 中南大学, 5.0, 52.333332;
L: 计算机学院, 31.666666, -48.666668;
L: 机器人自动搜索, -52.333332, 53.333332;

% Walls
% W: from_x_position, from_y_position, to_x_position, to_y_position;
W: -59.0, -0.0, -60.0, -48.0;
W: -60.0, -48.0, -60.333332, -54.666668;
W: -60.0, -48.0, -60.333332, -54.666668;
W: -60.333332, -54.666668, -82.333336, -54.333332;
W: -82.333336, -54.333332, -82.333336, -54.333332;
W: -48.0, 9.0, -18.0, 8.666667;
W: -17.666666, 46.333332, -18.0, 8.666667;
W: -7.6666665, 44.0, -8.666667, 7.6666665;
W: -8.666667, 7.6666665, 30.666666, 6.6666665;
W: -15.333333, -10.666667, -15.333333, -38.333332;
W: -4.3333335, -10.0, -4.3333335, -38.666668;
W: -4.3333335, -38.666668, 19.0, -38.666668;
W: -15.333333, -38.333332, -15.333333, -59.666668;
W: -45.333332, -14.333333, -44.666668, -41.666668;
W: -4.3333335, -10.0, 18.666666, -11.333333;
W: 18.666666, -11.333333, 19.0, -38.666668;
W: 30.666666, -45.666668, 30.333334, -46.333332;
W: -44.666668, -41.666668, -15.333333, -38.333332;
W: -45.333332, -14.333333, -45.333332, -14.333333;
W: -45.333332, -14.333333, -37.666668, -12.666667;
W: 18.666666, -11.333333, 24.0, -12.666667;
W: 19.0, -38.666668, 34.333332, -42.666668;
W: 24.0, -12.666667, 34.333332, -42.666668;
W: 30.666666, 6.6666665, 37.666668, -1.6666666;
W: -7.6666665, 44.0, -3.3333333, 46.666668;
W: -18.333334, 59.666668, -17.666666, 46.333332;
W: -59.0, -0.0, -87.666664, -1.3333334;
W: -48.0, 9.0, -48.0, 56.666668;
W: -60.0, 10.333333, -89.0, 12.333333;
W: -60.0, 10.333333, -59.333332, 56.0;
W: 16.666666, 48.0, 51.333332, 47.666668;
W: -22.0, -7.0, -15.333333, -10.666667;

% Robots
% R: x_position, y_position, direction;
R: -19.0, -55.0, 54.0;

% Plan
% P: location_1, location_2, location_3, ..., location_N;
P: 师范大学, 湖南大学, 岳麓山公园, 计算机学院, 中南大学, 机器人自动搜索;

